"data","loja","tipoCliente","qtde","totalVendido","lucro","margemPercentualMedia"
"4/1/2017","BALIBEACH RIO","1","150","2866,70","1088,07","37,96"
"5/1/2017","Balibeach - SP","0","17","556,00","145,02","26,08"
"5/1/2017","Balibeach - SP","1","427","10764,00","3435,41","31,92"
"5/1/2017","BALIBEACH RIO","1","215","3444,50","1505,26","43,70"
"6/1/2017","Balibeach - SP","0","30","1136,00","388,00","34,15"
"6/1/2017","Balibeach - SP","1","513","7003,50","2838,77","40,53"
"6/1/2017","BALIBEACH RIO","0","2","63,00","26,92","42,72"
"6/1/2017","BALIBEACH RIO","1","627","9655,50","3277,74","33,95"
"7/1/2017","Balibeach - SP","0","17","670,00","191,96","28,65"
"7/1/2017","Balibeach - SP","1","75","2072,93","766,64","36,98"
"7/1/2017","BALIBEACH RIO","0","3","101,00","29,43","29,14"
"7/1/2017","BALIBEACH RIO","1","156","2854,00","1184,24","41,49"
"9/1/2017","Balibeach - SP","0","12","405,00","130,14","32,13"
"9/1/2017","Balibeach - SP","1","5257","76420,50","31887,29","41,73"
"9/1/2017","BALIBEACH RIO","0","3","81,00","36,92","45,57"
"9/1/2017","BALIBEACH RIO","1","149","2754,00","993,11","36,06"
"10/1/2017","Balibeach - SP","0","9","290,00","67,37","23,23"
"10/1/2017","Balibeach - SP","1","641","13146,35","3976,46","30,25"
"10/1/2017","BALIBEACH RIO","1","206","3432,00","1391,06","40,53"
"11/1/2017","Balibeach - SP","0","8","340,00","121,84","35,84"
"11/1/2017","Balibeach - SP","1","1156","17488,50","7474,10","42,74"
"11/1/2017","BALIBEACH RIO","0","2","79,00","17,89","22,64"
"11/1/2017","BALIBEACH RIO","1","1831","26467,00","12464,65","47,10"
"12/1/2017","Balibeach - SP","0","17","610,00","222,42","36,46"
"12/1/2017","Balibeach - SP","1","2112","29900,50","12553,03","41,98"
"12/1/2017","BALIBEACH RIO","1","144","2425,00","1098,33","45,29"
"13/1/2017","Balibeach - SP","0","17","620,00","215,78","34,80"
"13/1/2017","Balibeach - SP","1","1455","20423,60","8656,30","42,38"
"13/1/2017","BALIBEACH RIO","0","3","94,00","40,85","43,46"
"13/1/2017","BALIBEACH RIO","1","449","8199,00","2425,11","29,58"
"14/1/2017","Balibeach - SP","0","5","225,00","83,42","37,08"
"14/1/2017","Balibeach - SP","1","261","3695,50","1281,02","34,66"
"16/1/2017","Balibeach - SP","0","25","1076,00","300,74","27,95"
"16/1/2017","Balibeach - SP","1","522","9701,20","3357,19","34,61"
"16/1/2017","BALIBEACH RIO","0","2","82,00","37,37","45,57"
"16/1/2017","BALIBEACH RIO","1","409","6014,00","2340,59","38,92"
"17/1/2017","Balibeach - SP","0","4","165,00","38,53","23,35"
"17/1/2017","Balibeach - SP","1","1131","17428,00","7390,47","42,41"
"17/1/2017","BALIBEACH RIO","0","1","26,00","10,59","40,72"
"17/1/2017","BALIBEACH RIO","1","306","5200,00","2255,80","43,38"
"18/1/2017","Balibeach - SP","0","11","353,00","134,40","38,07"
"18/1/2017","Balibeach - SP","1","881","12724,50","6083,15","47,81"
"18/1/2017","BALIBEACH RIO","0","2","64,00","24,84","38,81"
"18/1/2017","BALIBEACH RIO","1","211","3613,00","1447,68","40,07"
"19/1/2017","Balibeach - SP","0","7","263,00","100,62","38,26"
"19/1/2017","Balibeach - SP","1","3361","49060,00","23233,10","47,36"
"19/1/2017","BALIBEACH RIO","0","1","35,00","9,90","28,28"
"19/1/2017","BALIBEACH RIO","1","96","2244,60","583,48","25,99"
"20/1/2017","Balibeach - SP","0","2","70,00","13,13","18,75"
"20/1/2017","Balibeach - SP","1","1034","14820,00","6195,53","41,81"
